Eventtype,Sourcetype
hostmon_disk,WinHostMon
hostmon_inventory,WinHostMon
hostmon_os,WinHostMon
hostmon_windows,WinHostMon
microsoft_windows_hostmon_process,WinHostMon
microsoft_windows_hostmon_service,WinHostMon
microsoft_windows_hostmon_service_time,WinHostMon
netmon_windows,WinNetMon
printmon_windows,WinPrintMon
windows_updatelog,WindowsUpdateLog
windows_updatelog_status,WindowsUpdateLog
windowsupdatelog_windows,WindowsUpdateLog
wineventlog_application,WinEventLog:Application
wineventlog_application,WMI:WinEventLog:Application
wineventlog_application,XmlWinEventLog:Application
wineventlog_security,WinEventLog:Security
wineventlog_security,WMI:WinEventLog:Security
wineventlog_security,XmlWinEventLog:Security
wineventlog_system,WinEventLog:System
wineventlog_system,WMI:WinEventLog:System
wineventlog_system,XmlWinEventLog:System
winregistry_windows,WinRegistry
