uba_field_name,cim_field_name,required
externalAction,action,Y
application,app,N
bytesReceived,bytes_in,Y
<>,packets_in,N
bytesSent,bytes_out,Y
<>,packets_out,N
bytesTransmitted,bytes,N
protocol,protocol,Y
sourceIp,src_ip,Y
sourceDns,src_host,N
sourcePort,src_port,N
sourceZoneName,src_zone,N
natSourceIp,src_translated_ip,N
destinationIp,dest_ip,Y
destinationDns,dest_host,N
destinationPort,dest_port,N
destinationZoneName,dest_zone,N
natDestinationIp,dest_translated_ip,N
srcUser,user,N
externalUrl,url,N
duration,duration,N
evcls,vendor_action,Y
